index,project_name,address,floor_area_sqm,type_of_land,contract_date,property_type,tenure,completion_date,type_of_sale,postal_district,postal_sector,postal_code,region,area,month,latitude,longitude,floor_num,unit_num,price
7154,OASIS @ ELIAS,68 Elias Road  #17-14 ,113,Strata,22-NOV-2017,Condominium,99 Yrs From 17/03/2008,2011,Resale,18,51,519942,East Region,Pasir Ris,2017-11,1.37727490944,103.94216638,17.0,14.0,1037036
7155,TERRASSE,27 Terrasse Lane  #05-42 ,50,Strata,22-NOV-2017,Condominium,99 Yrs From 23/08/2010,2014,Resale,19,54,544777,North East Region,Hougang,2017-11,1.3685690000000001,103.877707,5.0,42.0,689468
7156,DUBLIN LODGE,40 Dublin Road ,238,Strata,22-NOV-2017,Terrace House,Freehold,1987,Resale,9,23,239819,Central Region,River Valley,2017-11,1.29780020892,103.840197609,,,3404527
7157,GRAMERCY PARK,57 Grange Road  #15-08 ,205,Strata,22-NOV-2017,Condominium,Freehold,2016,Resale,10,24,249569,Central Region,Tanglin,2017-11,1.2983710257899999,103.82642846,15.0,8.0,6035354
7158,SKYSUITES@ANSON,8 Enggor Street  #15-06 ,65,Strata,22-NOV-2017,Apartment,99 Yrs From 18/02/2008,2014,Resale,2,7,79718,Central Region,Downtown Core,2017-11,1.27464403809,103.844742451,15.0,6.0,1484182
7159,FORESQUE RESIDENCES,105 Petir Road  #03-12 ,105,Strata,22-NOV-2017,Condominium,99 Yrs From 10/01/2011,2014,Resale,23,67,678274,West Region,Bukit Panjang,2017-11,1.3690159234700001,103.776424978,3.0,12.0,1162015
7160,A TREASURE TROVE,50 Punggol Walk  #05-01 ,72,Strata,22-NOV-2017,Condominium,99 Yrs From 09/03/2011,2015,Resale,19,82,828830,North East Region,Punggol,2017-11,1.4060438285199999,103.89937974600001,5.0,1.0,857811
7161,EAST MEADOWS,34 Tanah Merah Kechil Road  #05-29 ,138,Strata,22-NOV-2017,Condominium,99 Yrs From 02/03/1998,2002,Resale,16,46,465560,East Region,Bedok,2017-11,1.32860008034,103.944562819,5.0,29.0,1339183
7162,SKY@ELEVEN,7 Thomson Lane  #30-05 ,252,Strata,22-NOV-2017,Condominium,Freehold,2010,Resale,11,29,297725,Central Region,Toa Payoh,2017-11,1.33125277398,103.84101535100001,30.0,5.0,4013052
7163,TOWNHOUSE APARTMENTS,139 Cavenagh Road  #06-06 ,199,Strata,22-NOV-2017,Apartment,99 Yrs From 15/11/1977,Unknown,Resale,9,22,229627,Central Region,Newton,2017-11,1.30925734515,103.84261379200001,6.0,6.0,1986947
7164,FLORIDIAN,969 Bukit Timah Road  #06-20 ,154,Strata,22-NOV-2017,Condominium,Freehold,2012,Resale,21,58,589664,Central Region,Bukit Timah,2017-11,1.33322938992,103.78528450299999,6.0,20.0,2654216
7165,DAKOTA RESIDENCES,38 Dakota Crescent  #10-09 ,170,Strata,22-NOV-2017,Condominium,99 Yrs From 11/09/2007,2010,Resale,14,39,399938,Central Region,Geylang,2017-11,1.30635916365,103.887058006,10.0,9.0,2470190
7166,THE INTERLACE,194 Depot Road  #08-29 ,177,Strata,22-NOV-2017,Condominium,99 Yrs From 11/02/2009,2013,Resale,4,10,109691,Central Region,Bukit Merah,2017-11,1.2834577231,103.802190209,8.0,29.0,2051672
7167,ZEDGE,2 Akyab Road  #05-04 ,46,Strata,22-NOV-2017,Apartment,Freehold,2010,Resale,11,30,309973,Central Region,Novena,2017-11,1.3223981436599999,103.848176944,5.0,4.0,812239
7168,BEDOK RESIDENCES,28 Bedok North Drive  #15-47 ,249,Strata,22-NOV-2017,Apartment,99 Yrs From 21/11/2011,2015,Resale,16,46,465500,East Region,Bedok,2017-11,1.32435037657,103.92914193799999,15.0,47.0,2510018
7169,THE LEGEND,361 Bukit Timah Road  #06-05 ,139,Strata,22-NOV-2017,Condominium,Freehold,1996,Resale,10,25,259725,Central Region,Tanglin,2017-11,1.31828108316,103.82938251899999,6.0,5.0,2018439
7170,2 RVG,2 River Valley Grove  #12-03 ,64,Strata,21-NOV-2017,Apartment,Freehold,2006,Resale,9,23,238405,Central Region,River Valley,2017-11,1.29645515625,103.83443398700001,12.0,3.0,1220144
7171,MELVILLE PARK,16 Simei Street 1  #06-03 ,87,Strata,21-NOV-2017,Condominium,99 Yrs From 01/09/1992,1996,Resale,18,52,529942,East Region,Tampines,2017-11,1.3496244221899998,103.959041201,6.0,3.0,682912
7172,QUEENS,12 Stirling Road  #05-09 ,131,Strata,21-NOV-2017,Condominium,99 Yrs From 16/02/1998,2002,Resale,3,14,148955,Central Region,Queenstown,2017-11,1.29304766281,103.806248215,5.0,9.0,1602253
7173,THE FORESTA @ MOUNT FABER,100 Wishart Road  #04-01 ,62,Strata,21-NOV-2017,Condominium,Freehold,2014,Resale,4,9,98748,Central Region,Bukit Merah,2017-11,1.27034588791,103.81404621600001,4.0,1.0,1140269
7174,QUINTERRA,359 Holland Road  #15-02 ,166,Strata,21-NOV-2017,Apartment,99 Yrs From 08/03/2006,2009,Resale,10,27,278636,Central Region,Bukit Timah,2017-11,1.31860256258,103.780745525,15.0,2.0,2059783
7175,THE MERASAGA,27 Jalan Merah Saga  #08-01 ,128,Strata,21-NOV-2017,Condominium,99 Yrs From 18/11/1991,1995,Resale,10,27,278106,Central Region,Bukit Timah,2017-11,1.3114703235,103.797121385,8.0,1.0,1935861
7176,THE LUCENT,101 Lorong N Telok Kurau  #04-06 ,145,Strata,21-NOV-2017,Apartment,Freehold,2011,Resale,15,42,425253,East Region,Bedok,2017-11,1.31094455805,103.916202866,4.0,6.0,1807618
7177,N.A.,7 Jalan Pandan ,434,Land,21-NOV-2017,Semi-Detached House,Freehold,1972,Resale,11,28,288792,Central Region,Bukit Timah,2017-11,1.33294412113,103.801529051,,,6162396
7178,THE QUARTZ,63 Compassvale Bow  #08-25 ,99,Strata,21-NOV-2017,Condominium,99 Yrs From 18/04/2005,2009,Resale,19,54,544990,North East Region,Sengkang,2017-11,1.3805179000499999,103.89327277,8.0,25.0,942017
7179,FLO RESIDENCE,5 Punggol Field Walk  #06-09 ,86,Strata,21-NOV-2017,Condominium,99 Yrs From 05/12/2011,2016,Resale,19,82,828741,North East Region,Punggol,2017-11,1.39239051541,103.91316553799999,6.0,9.0,808829
7180,THE CLEMENTVALE,27 Mas Kuning Terrace ,360,Land,21-NOV-2017,Terrace House,99 Yrs From 17/05/1997,2001,Resale,5,12,126871,West Region,Clementi,2017-11,1.3085288469399998,103.76535217899999,,,2482906
7181,THE GRANDHILL,39 Pasir Panjang Hill  #01-11 ,131,Strata,21-NOV-2017,Condominium,Freehold,2006,Resale,5,11,118860,Central Region,Queenstown,2017-11,1.28164059249,103.78487457899999,1.0,11.0,1532113
7182,VILLA DE WEST,385 Pasir Panjang Road  #03-04 ,88,Strata,21-NOV-2017,Condominium,Freehold,1995,Resale,5,11,118719,Central Region,Queenstown,2017-11,1.29076507295,103.77207856700001,3.0,4.0,936327
7183,CENTRA RESIDENCE,8 Lorong 7 Geylang  #05-09 ,54,Strata,21-NOV-2017,Apartment,Freehold,2014,Resale,14,38,388792,Central Region,Geylang,2017-11,1.31268829168,103.87599277700001,5.0,9.0,691182
7184,RESIDENCES @ KILLINEY,147 Killiney Road  #02-07 ,151,Strata,21-NOV-2017,Apartment,Freehold,2012,Resale,9,23,239566,Central Region,River Valley,2017-11,1.2967395293600001,103.838172271,2.0,7.0,3017935
7185,THE TRILLIUM,112 Kim Seng Road  #24-03 ,130,Strata,21-NOV-2017,Condominium,Freehold,2010,Resale,9,23,239432,Central Region,Singapore River,2017-11,1.29366745187,103.83310185100001,24.0,3.0,2861727
7186,KOVAN REGENCY,40 Kovan Rise  #09-22 ,98,Strata,21-NOV-2017,Condominium,99 Yrs From 24/04/2012,2015,Resale,19,54,544728,North East Region,Hougang,2017-11,1.36314980811,103.88524426200001,9.0,22.0,1320177
7187,NV RESIDENCES,87 Pasir Ris Grove  #10-18 ,101,Strata,21-NOV-2017,Condominium,99 Yrs From 07/01/2008,2013,Resale,18,51,518213,East Region,Pasir Ris,2017-11,1.3718614981000001,103.943849784,10.0,18.0,990274
7188,SUITES AT ORCHARD,38 Handy Road  #09-02 ,51,Strata,21-NOV-2017,Apartment,99 Yrs From 27/06/2007,2014,Resale,9,22,229239,Central Region,Museum,2017-11,1.30040735255,103.845981812,9.0,2.0,1090010
7189,KOVAN MELODY,35 Kovan Road  #06-44 ,114,Strata,21-NOV-2017,Condominium,99 Yrs From 20/01/2004,2006,Resale,19,54,545019,North East Region,Hougang,2017-11,1.35909815495,103.882839878,6.0,44.0,1194513
7190,EVERGREEN VIEW,15 Lorong 36 Geylang  #08-04 ,125,Strata,21-NOV-2017,Apartment,Freehold,2010,Resale,14,39,398150,Central Region,Geylang,2017-11,1.31352658005,103.888547594,8.0,4.0,1225409
7191,SIMEI GREEN CONDOMINIUM,9 Simei Street 4  #05-08 ,126,Strata,21-NOV-2017,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,18,52,529865,East Region,Tampines,2017-11,1.34004174193,103.957695175,5.0,8.0,1006958
7192,RIPPLE BAY,4 Pasir Ris Link  #08-11 ,122,Strata,21-NOV-2017,Condominium,99 Yrs From 10/08/2011,2015,Resale,18,51,518160,East Region,Pasir Ris,2017-11,1.3772902306099999,103.961449919,8.0,11.0,1155397
7193,N.A.,65 Coronation Road West ,440,Land,21-NOV-2017,Semi-Detached House,Freehold,Unknown,Resale,10,26,269278,Central Region,Bukit Timah,2017-11,1.32069384288,103.795071762,,,7063202
7194,RIS GRANDEUR,29 Elias Road  #03-17 ,120,Strata,21-NOV-2017,Condominium,Freehold,2005,Resale,18,51,519933,East Region,Pasir Ris,2017-11,1.37469397889,103.93951076200001,3.0,17.0,1058708
7195,PARC OLYMPIA,54 Flora Drive  #01-22 ,95,Strata,21-NOV-2017,Condominium,99 Yrs From 25/01/2012,2015,Resale,17,50,506870,East Region,Pasir Ris,2017-11,1.3554219611700002,103.96477757299999,1.0,22.0,818757
7196,SHAMROCK PARK,77 Namly Place ,231,Land,21-NOV-2017,Terrace House,Freehold,Unknown,Resale,10,26,267228,Central Region,Bukit Timah,2017-11,1.32432131385,103.796381618,,,4265076
7197,N.A.,35 Duku Road ,150,Land,21-NOV-2017,Terrace House,Freehold,1985,Resale,15,42,429193,Central Region,Marine Parade,2017-11,1.30948495048,103.90474060700001,,,2159514
7198,YONG SENG ESTATE,73C Jalan Senang ,176,Land,21-NOV-2017,Terrace House,Freehold,Unknown,Resale,14,41,418376,East Region,Bedok,2017-11,1.32718794081,103.916005973,,,2307550
7199,RIVER ISLES,62 Edgedale Plains  #07-24 ,83,Strata,21-NOV-2017,Condominium,99 Yrs From 06/02/2012,2015,Resale,19,82,828730,North East Region,Punggol,2017-11,1.39646060028,103.91348186299999,7.0,24.0,798435
7200,CAVAN SUITES,11 Cavan Road  #03-01 ,32,Strata,21-NOV-2017,Apartment,Freehold,2012,Resale,8,20,209848,Central Region,Kallang,2017-11,1.3109245110799999,103.861219519,3.0,1.0,550963
7201,NIN RESIDENCE,85 Pheng Geck Avenue  #18-11 ,119,Strata,21-NOV-2017,Apartment,99 Yrs From 13/09/2010,2014,Resale,13,34,348271,Central Region,Toa Payoh,2017-11,1.3325685056899998,103.87005795299999,18.0,11.0,1391144
7202,PRINCESS OF WALES PARK,33 Princess Of Wales Road ,368,Land,21-NOV-2017,Semi-Detached House,Freehold,1978,Resale,10,26,266933,Central Region,Bukit Timah,2017-11,1.3223152068100001,103.807749285,,,6405493
7203,GUILIN COURT,10 Lorong 26 Geylang  #08-01 ,108,Strata,21-NOV-2017,Apartment,Freehold,1995,Resale,14,39,398485,Central Region,Geylang,2017-11,1.31215778317,103.884573785,8.0,1.0,852455
7204,ATRIUM RESIDENCES,7 Lorong 28 Geylang  #08-13 ,214,Strata,21-NOV-2017,Apartment,Freehold,2008,Resale,14,39,398412,Central Region,Geylang,2017-11,1.31355942821,103.88610071,8.0,13.0,1380881
7205,BLUE HORIZON,23 West Coast Crescent  #22-07 ,113,Strata,21-NOV-2017,Condominium,99 Yrs From 14/08/2000,2005,Resale,5,12,128046,West Region,Clementi,2017-11,1.29688276424,103.765099884,22.0,7.0,1203295
7206,EASTWOOD PARK,40 Eastwood Green ,180,Land,21-NOV-2017,Terrace House,99 Yrs From 21/06/1995,1997,Resale,16,48,486566,East Region,Bedok,2017-11,1.3230163287299999,103.956687684,,,1926931
7207,MELVILLE PARK,28 Simei Street 1  #10-04 ,131,Strata,21-NOV-2017,Condominium,99 Yrs From 01/09/1992,1996,Resale,18,52,529948,East Region,Tampines,2017-11,1.3467299065,103.958610121,10.0,4.0,852308
7208,THE GARDENS AT BISHAN,7 Sin Ming Walk  #06-18 ,112,Strata,21-NOV-2017,Condominium,99 Yrs From 22/03/1997,2004,Resale,20,57,575577,Central Region,Bishan,2017-11,1.3644256544,103.831040497,6.0,18.0,1196200
7209,THE LIGHT @ CAIRNHILL,19 Cairnhill Circle  #02-03 ,160,Strata,21-NOV-2017,Condominium,Freehold,2004,Resale,9,22,229768,Central Region,Newton,2017-11,1.30643805449,103.83838423799999,2.0,3.0,3095296
7210,NIN RESIDENCE,83 Pheng Geck Avenue  #01-06 ,59,Strata,21-NOV-2017,Apartment,99 Yrs From 13/09/2010,2014,Resale,13,34,348270,Central Region,Toa Payoh,2017-11,1.33251171182,103.87004383600001,1.0,6.0,861855
7211,DUCHESS CREST,52 Duchess Avenue  #01-04 ,139,Strata,21-NOV-2017,Condominium,99 Yrs From 24/06/1995,1998,Resale,10,26,269197,Central Region,Bukit Timah,2017-11,1.32439564499,103.80463119299999,1.0,4.0,1804033
7212,DUCHESS CREST,58 Duchess Avenue  #04-02 ,87,Strata,21-NOV-2017,Condominium,99 Yrs From 24/06/1995,1998,Resale,10,26,269200,Central Region,Bukit Timah,2017-11,1.3248353326200002,103.804176043,4.0,2.0,1243144
7213,THE ESPARIS,9B Pasir Ris Drive 4  #03-27 ,120,Strata,21-NOV-2017,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,18,51,519464,East Region,Pasir Ris,2017-11,1.36935579411,103.960103655,3.0,27.0,883957
7214,GARDENVISTA,956 Dunearn Road  #06-16 ,125,Strata,21-NOV-2017,Condominium,99 Yrs From 09/09/1999,2006,Resale,21,58,589484,Central Region,Bukit Timah,2017-11,1.33859479783,103.78024704100001,6.0,16.0,1578165
7215,LEEDON RESIDENCE,20 Leedon Heights  #01-27 ,649,Strata,21-NOV-2017,Condominium,Freehold,2015,Resale,10,26,266218,Central Region,Bukit Timah,2017-11,1.3143025933399999,103.801685949,1.0,27.0,11232267
7216,NORTHSHORE BUNGALOWS,233 Ponggol Seventeenth Avenue ,969,Strata,21-NOV-2017,Detached House,Freehold,1995,Resale,19,82,829697,North East Region,Punggol,2017-11,1.4155002003400001,103.904182046,,,4100375
7217,THE WATERSIDE,7 Tanjong Rhu Road  #20-02 ,223,Strata,21-NOV-2017,Condominium,Freehold,1992,Resale,15,43,436887,Central Region,Kallang,2017-11,1.29756085529,103.883126061,20.0,2.0,3514602
7218,NORTHVALE,67 Choa Chu Kang Loop  #09-06 ,120,Strata,21-NOV-2017,Apartment,99 Yrs From 01/03/1995,1998,Resale,23,68,689671,West Region,Choa Chu Kang,2017-11,1.3879809024399998,103.744618554,9.0,6.0,857738
7219,CORONATION GROVE,138 Coronation Road  #03-02 ,116,Strata,21-NOV-2017,Condominium,999 Yrs From 27/12/1875,1985,Resale,10,26,269525,Central Region,Bukit Timah,2017-11,1.3228667188,103.80250809999998,3.0,2.0,1707374
7220,THE CLEARWATER,6 Bedok Reservoir View  #06-17 ,112,Strata,21-NOV-2017,Condominium,99 Yrs From 18/07/1997,2001,Resale,16,47,479234,East Region,Bedok,2017-11,1.33749243846,103.933664612,6.0,17.0,1006215
7221,FRANKEL ESTATE,3 Jedburgh Gardens ,200,Land,21-NOV-2017,Semi-Detached House,Freehold,2000,Resale,15,45,457068,East Region,Bedok,2017-11,1.31300883203,103.921051369,,,2982404
7222,CORALS AT KEPPEL BAY,1 Keppel Bay Drive  #04-03 ,146,Strata,21-NOV-2017,Condominium,99 Yrs From 26/02/2007,2016,Resale,4,9,98012,Central Region,Bukit Merah,2017-11,1.26485386676,103.81652760200001,4.0,3.0,3266003
7223,GRANGE RESIDENCES,91 Grange Road  #08-03 ,248,Strata,21-NOV-2017,Condominium,Freehold,2004,Resale,10,24,249613,Central Region,Tanglin,2017-11,1.3036759928100001,103.82307215899999,8.0,3.0,6171810
7224,PEIRCE VIEW,557 Upper Thomson Road  #04-15 ,119,Strata,21-NOV-2017,Condominium,Freehold,1996,Resale,20,57,574418,North East Region,Ang Mo Kio,2017-11,1.37144152359,103.82814059100001,4.0,15.0,1277408
7225,MONTEREY PARK CONDOMINIUM,29 West Coast Rise  #01-14 ,106,Strata,21-NOV-2017,Condominium,999 Yrs From 21/02/1885,2005,Resale,5,12,127472,West Region,Clementi,2017-11,1.3170400816399999,103.753037721,1.0,14.0,1121220
7226,THE RIVERINE BY THE PARK,398 Kallang Road  #07-04 ,91,Strata,20-NOV-2017,Apartment,Freehold,2010,Resale,12,33,339098,Central Region,Kallang,2017-11,1.30962373374,103.86919446200001,7.0,4.0,1369542
7227,THE FORD @ HOLLAND,1 Ford Avenue  #05-01 ,57,Strata,20-NOV-2017,Condominium,Freehold,2009,Resale,10,26,268685,Central Region,Bukit Timah,2017-11,1.3134975848100001,103.793673792,5.0,1.0,952153
7228,PASIR PANJANG COURT,23A Pasir Panjang Close ,128,Strata,20-NOV-2017,Apartment,Freehold,Unknown,Resale,5,11,118973,Central Region,Queenstown,2017-11,1.291975,103.7721258,,,1115722
7229,THE PALETTE,123 Pasir Ris Grove  #05-69 ,99,Strata,20-NOV-2017,Condominium,99 Yrs From 20/10/2010,2015,Resale,18,51,518176,East Region,Pasir Ris,2017-11,1.3705176086300002,103.945518921,5.0,69.0,1051099
7230,CADENCE LIGHT,199 Telok Kurau Road  #04-03 ,63,Strata,20-NOV-2017,Apartment,Freehold,2007,Resale,15,42,423833,East Region,Bedok,2017-11,1.31245177547,103.911015137,4.0,3.0,807748
7231,VILLA CHANCERY,39 Chancery Lane  #01-24 ,247,Strata,20-NOV-2017,Condominium,Freehold,1986,Resale,11,30,309568,Central Region,Novena,2017-11,1.32356567192,103.838739714,1.0,24.0,3423432
7232,THE SEAFRONT ON MEYER,55 Meyer Road  #20-03 ,150,Strata,20-NOV-2017,Condominium,Freehold,2010,Resale,15,43,437978,Central Region,Marine Parade,2017-11,1.2973689263,103.888137685,20.0,3.0,2622467
7233,MIMOSA TERRACE,53 Mimosa Drive ,150,Land,20-NOV-2017,Terrace House,Freehold,2008,Resale,28,80,805460,North East Region,Serangoon,2017-11,1.38414858365,103.859858533,,,2380786
7234,THE BAYSHORE,30 Bayshore Road  #13-06 ,91,Strata,20-NOV-2017,Condominium,99 Yrs From 31/05/1993,1997,Resale,16,46,469974,East Region,Bedok,2017-11,1.31299246295,103.93991443,13.0,6.0,907999
7235,BAYSHORE PARK,58 Bayshore Road  #03-01 ,87,Strata,20-NOV-2017,Condominium,99 Yrs From 17/03/1982,1986,Resale,16,46,469981,East Region,Bedok,2017-11,1.31174003025,103.935565128,3.0,1.0,847395
7236,THE RICHMOND,7 St. Michael'S Road  #10-02 ,143,Strata,20-NOV-2017,Apartment,Freehold,1999,Resale,12,32,327950,Central Region,Kallang,2017-11,1.32485654722,103.86448355,10.0,2.0,1482293
7237,CASA MERAH,50 Tanah Merah Kechil Avenue  #01-01 ,137,Strata,20-NOV-2017,Apartment,99 Yrs From 11/07/2006,2009,Resale,16,46,465524,East Region,Bedok,2017-11,1.3297420683499999,103.94567042700001,1.0,1.0,1366392
7238,THE MINTON,2 Hougang Street 11  #03-04 ,91,Strata,20-NOV-2017,Condominium,99 Yrs From 27/07/2007,2013,Resale,19,53,538751,North East Region,Hougang,2017-11,1.3521336527399999,103.881681919,3.0,4.0,986959
7239,PARC PALAIS,49 Hume Avenue  #05-05 ,124,Strata,20-NOV-2017,Condominium,Freehold,1999,Resale,21,59,598749,West Region,Bukit Batok,2017-11,1.3570030329700002,103.76597263,5.0,5.0,1315291
7240,BREEZE BY THE EAST,324 Upper East Coast Road  #05-13 ,268,Strata,20-NOV-2017,Condominium,Freehold,2011,Resale,16,46,466455,East Region,Bedok,2017-11,1.31360631826,103.937553044,5.0,13.0,2926644
7241,CLEMENTIWOODS CONDOMINIUM,90 West Coast Road  #03-46 ,151,Strata,20-NOV-2017,Condominium,99 Yrs From 07/02/2006,2010,Resale,5,12,126810,West Region,Clementi,2017-11,1.29681403417,103.767536277,3.0,46.0,1666466
7242,THE ANCHORAGE,370G Alexandra Road  #07-06 ,170,Strata,20-NOV-2017,Condominium,Freehold,1997,Resale,3,15,159960,Central Region,Queenstown,2017-11,1.2889146331899999,103.804498162,7.0,6.0,2109534
7243,SELETAR HILLS ESTATE,8 Nim Drive ,458,Land,20-NOV-2017,Semi-Detached House,999 Yrs From 01/01/1879,Unknown,Resale,28,80,807652,North East Region,Serangoon,2017-11,1.38392858302,103.86697845299999,,,4082926
7244,N.A.,19 Orchid Drive ,427,Land,20-NOV-2017,Detached House,Freehold,Unknown,Resale,20,57,576174,Central Region,Bishan,2017-11,1.3554405011000001,103.82854578799999,,,4708347
7245,N.A.,2D Park Vale ,230,Land,20-NOV-2017,Semi-Detached House,999 Yrs From 01/05/1874,2008,Resale,11,28,288576,Central Region,Bukit Timah,2017-11,1.32990339604,103.81060845100001,,,4748430
7246,SIMEI GREEN CONDOMINIUM,7 Simei Street 4  #11-08 ,126,Strata,20-NOV-2017,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,18,52,529864,East Region,Tampines,2017-11,1.3404556172600002,103.958167774,11.0,8.0,1054326
7247,REGENT HEIGHTS,50 Bukit Batok East Avenue 5  #14-02 ,109,Strata,20-NOV-2017,Condominium,99 Yrs From 07/11/1995,1999,Resale,23,65,659801,West Region,Bukit Batok,2017-11,1.3520852603,103.756704905,14.0,2.0,845756
7248,THE HILLIER,6 Hillview Rise  #11-22 ,55,Strata,20-NOV-2017,Apartment,99 Yrs From 01/08/2011,2016,Resale,23,66,667980,West Region,Bukit Batok,2017-11,1.3630337048299999,103.764136915,11.0,22.0,815861
7249,ESTELLA GARDENS,23 Flora Road  #06-07 ,117,Strata,20-NOV-2017,Condominium,Freehold,1999,Resale,17,50,509739,East Region,Pasir Ris,2017-11,1.3604083704899999,103.96708877100001,6.0,7.0,961149
7250,SILVERSEA,52 Marine Parade Road  #06-21 ,138,Strata,20-NOV-2017,Condominium,99 Yrs From 20/07/2007,2014,Resale,15,44,449308,Central Region,Marine Parade,2017-11,1.2999395253000001,103.902843795,6.0,21.0,2279030
7251,MARINE BLUE,91 Marine Parade Road  #07-05 ,68,Strata,20-NOV-2017,Condominium,Freehold,2016,Resale,15,44,449314,Central Region,Marine Parade,2017-11,1.30405559896,103.904877122,7.0,5.0,1244026
7252,TROPICANA CONDOMINIUM,2 Jalan Tiga Ratus  #01-18 ,164,Strata,20-NOV-2017,Condominium,999 Yrs From 06/07/1885,1994,Resale,16,48,488067,East Region,Tampines,2017-11,1.34167788832,103.960816335,1.0,18.0,1360571
7253,EIGHT RIVERSUITES,6 Whampoa East  #12-10 ,65,Strata,20-NOV-2017,Condominium,99 Yrs From 11/07/2011,2016,Resale,12,33,338519,Central Region,Kallang,2017-11,1.32165218781,103.86489011299999,12.0,10.0,1044062
7254,SEMBAWANG STRAITS ESTATE,11 Jalan Machang ,195,Land,20-NOV-2017,Semi-Detached House,Freehold,Unknown,Resale,27,75,759171,North Region,Sembawang,2017-11,1.4566512501299997,103.836096135,,,2319040
7255,KOVAN MELODY,23 Kovan Road  #11-20 ,114,Strata,20-NOV-2017,Condominium,99 Yrs From 20/01/2004,2006,Resale,19,54,548193,North East Region,Hougang,2017-11,1.36030339137,103.88373102,11.0,20.0,1226912
7256,LEEDON RESIDENCE,16 Leedon Heights  #09-20 ,246,Strata,20-NOV-2017,Condominium,Freehold,2015,Resale,10,26,267937,Central Region,Bukit Timah,2017-11,1.31276065819,103.80148207200001,9.0,20.0,5566167
7257,VACANZA @ EAST,50 Lengkong Tujoh  #03-39 ,75,Strata,20-NOV-2017,Condominium,Freehold,2014,Resale,14,41,417398,East Region,Bedok,2017-11,1.32943151732,103.91480459899999,3.0,39.0,877363
7258,THE CHANCERY RESIDENCE,33E Chancery Lane  #01-23 ,300,Strata,20-NOV-2017,Terrace House,99 Yrs From 31/01/2004,2005,Resale,11,30,309555,Central Region,Novena,2017-11,1.32416303323,103.838085083,1.0,23.0,2586764
7259,CITYSCAPE @FARRER PARK,101 Mergui Road  #15-02 ,108,Strata,20-NOV-2017,Condominium,Freehold,2014,Resale,8,21,219067,Central Region,Kallang,2017-11,1.3176845936900001,103.851151435,15.0,2.0,1507176
7260,HILLSTA,70 Phoenix Road  #20-16 ,112,Strata,20-NOV-2017,Condominium,99 Yrs From 03/10/2011,2016,Resale,23,66,667973,West Region,Bukit Batok,2017-11,1.3765596843,103.756439497,20.0,16.0,1147482
7261,MARINA BAY RESIDENCES,18 Marina Boulevard  #14-01 ,184,Strata,20-NOV-2017,Condominium,99 Yrs From 11/10/2005,2010,Resale,1,1,18980,Central Region,Downtown Core,2017-11,1.27964477533,103.85497130200001,14.0,1.0,4958823
7262,THE SEAFRONT ON MEYER,59 Meyer Road  #04-12 ,149,Strata,20-NOV-2017,Condominium,Freehold,2010,Resale,15,43,437880,Central Region,Marine Parade,2017-11,1.29640803098,103.888509895,4.0,12.0,2366733
7263,ONE-NORTH RESIDENCES,7 One-North Gateway  #10-05 ,55,Strata,20-NOV-2017,Apartment,99 Yrs From 15/09/2005,2009,Resale,5,13,138642,Central Region,Queenstown,2017-11,1.30199978805,103.789595699,10.0,5.0,897246
7264,KILLINEY 118,118 Killiney Road  #06-06 ,85,Strata,20-NOV-2017,Apartment,Freehold,2013,Resale,9,23,239555,Central Region,River Valley,2017-11,1.29803363894,103.83832251,6.0,6.0,1586894
7265,OLEANDER TOWERS,911 Lorong 1 Toa Payoh  #13-06 ,135,Strata,20-NOV-2017,Apartment,99 Yrs From 01/03/1995,1997,Resale,12,31,319771,Central Region,Toa Payoh,2017-11,1.33318447403,103.844341716,13.0,6.0,1493663
7266,MARINE BLUE,89 Marine Parade Road  #14-02 ,118,Strata,20-NOV-2017,Condominium,Freehold,2016,Resale,15,44,449313,Central Region,Marine Parade,2017-11,1.30349534097,103.905253211,14.0,2.0,1718868
7267,N.A.,14 Pinewood Grove ,180,Land,20-NOV-2017,Terrace House,99 Yrs From 04/08/1995,1998,Resale,25,73,738273,North Region,Woodlands,2017-11,1.4286956931600001,103.779822816,,,1763898
7268,THE INFLORA,55 Flora Drive  #08-18 ,121,Strata,20-NOV-2017,Condominium,99 Yrs From 25/05/2012,2016,Resale,17,50,506864,East Region,Pasir Ris,2017-11,1.3566643305200001,103.96612281799999,8.0,18.0,1011481
7269,HAIG COURT,158 Haig Road  #03-06 ,130,Strata,20-NOV-2017,Condominium,Freehold,2004,Resale,15,43,438794,Central Region,Marine Parade,2017-11,1.30573176285,103.898039085,3.0,6.0,1607210
7270,MERAWOODS,136C Hillview Avenue  #05-05 ,125,Strata,20-NOV-2017,Condominium,999 Yrs From 12/10/1885,1999,Resale,23,66,669608,West Region,Bukit Batok,2017-11,1.3561580439899998,103.759905015,5.0,5.0,1269063
7271,GRAND DUCHESS AT ST PATRICK'S,128 St. Patrick'S Road  #03-02 ,183,Strata,20-NOV-2017,Condominium,Freehold,2010,Resale,15,42,424210,East Region,Bedok,2017-11,1.3083565486,103.915676754,3.0,2.0,2738534
